OBJ File,OBJ ID,English Name,Japanese Name,FMA ID,Category,Region,Headache Importance,Headache Type,Recommended Blender Collection,Description,BBox(mm),Buildup,Mirror,Vertices,Faces
FJ2898.obj,FJ2898,Superior lingular artery,,FMA8639,Vessel,Other,,None,Others,,59×66.9×44.5,part_of,,,
FJ2898.obj,FJ2898,Superior lingular artery,,FMA8639,Vessel,Other,,None,Others,,59×66.9×44.5,is_a,,,
FJ2899.obj,FJ2899,Superior lingular artery,,FMA8639,Vessel,Other,,None,Others,,10×5.2×8.9,part_of,,,
FJ2899.obj,FJ2899,Superior lingular artery,,FMA8639,Vessel,Other,,None,Others,,10×5.2×8.9,is_a,,,
FJ2900.obj,FJ2900,Superior lingular artery,,FMA8639,Vessel,Other,,None,Others,,23.9×18.1×6.7,part_of,,,
FJ2900.obj,FJ2900,Superior lingular artery,,FMA8639,Vessel,Other,,None,Others,,23.9×18.1×6.7,is_a,,,
FJ2901.obj,FJ2901,Superior lingular artery,,FMA8639,Vessel,Other,,None,Others,,10.1×9.8×7.2,part_of,,,
FJ2901.obj,FJ2901,Superior lingular artery,,FMA8639,Vessel,Other,,None,Others,,10.1×9.8×7.2,is_a,,,
FJ2902.obj,FJ2902,Left anterior segmental artery,,FMA13279,Vessel,Other,,None,Others,,39.7×52.2×21,part_of,,,
FJ2902.obj,FJ2902,Left anterior segmental artery,,FMA13279,Vessel,Other,,None,Others,,39.7×52.2×21,is_a,,,
FJ2903.obj,FJ2903,Left posterior basal segmental artery,,FMA8647,Vessel,Other,,None,Others,,43.2×23.2×56.6,part_of,,,
FJ2903.obj,FJ2903,Left posterior basal segmental artery,,FMA8647,Vessel,Other,,None,Others,,43.2×23.2×56.6,is_a,,,
FJ2904.obj,FJ2904,Left anterior segmental artery,,FMA13279,Vessel,Other,,None,Others,,14.2×12.6×15.4,part_of,,,
FJ2904.obj,FJ2904,Left anterior segmental artery,,FMA13279,Vessel,Other,,None,Others,,14.2×12.6×15.4,is_a,,,
FJ2905.obj,FJ2905,Left anterior segmental artery,,FMA13279,Vessel,Other,,None,Others,,3.9×13.8×3.4,part_of,,,
FJ2905.obj,FJ2905,Left anterior segmental artery,,FMA13279,Vessel,Other,,None,Others,,3.9×13.8×3.4,is_a,,,
FJ2906.obj,FJ2906,Left anterior segmental artery,,FMA13279,Vessel,Other,,None,Others,,19.4×82.4×33.9,part_of,,,
FJ2906.obj,FJ2906,Left anterior segmental artery,,FMA13279,Vessel,Other,,None,Others,,19.4×82.4×33.9,is_a,,,
FJ2907.obj,FJ2907,Left anterior segmental artery,,FMA13279,Vessel,Other,,None,Others,,12.3×12.4×12,part_of,,,
FJ2907.obj,FJ2907,Left anterior segmental artery,,FMA13279,Vessel,Other,,None,Others,,12.3×12.4×12,is_a,,,
FJ2908.obj,FJ2908,Left anterior segmental artery,,FMA13279,Vessel,Other,,None,Others,,31.3×53.3×17.2,part_of,,,
FJ2908.obj,FJ2908,Left anterior segmental artery,,FMA13279,Vessel,Other,,None,Others,,31.3×53.3×17.2,is_a,,,
FJ2909.obj,FJ2909,Left anterior segmental artery,,FMA13279,Vessel,Other,,None,Others,,5.6×14.4×10.4,part_of,,,
FJ2909.obj,FJ2909,Left anterior segmental artery,,FMA13279,Vessel,Other,,None,Others,,5.6×14.4×10.4,is_a,,,
FJ2910.obj,FJ2910,Left anterior segmental artery,,FMA13279,Vessel,Other,,None,Others,,14.5×27×9.6,part_of,,,
FJ2910.obj,FJ2910,Left anterior segmental artery,,FMA13279,Vessel,Other,,None,Others,,14.5×27×9.6,is_a,,,
FJ2911.obj,FJ2911,Left posterior segmental artery,,FMA8635,Vessel,Other,,None,Others,,35.9×31.2×46.5,part_of,,,
FJ2911.obj,FJ2911,Left posterior segmental artery,,FMA8635,Vessel,Other,,None,Others,,35.9×31.2×46.5,is_a,,,
FJ2912.obj,FJ2912,Left posterior segmental artery,,FMA8635,Vessel,Other,,None,Others,,12.1×21.7×7.2,part_of,,,
FJ2912.obj,FJ2912,Left posterior segmental artery,,FMA8635,Vessel,Other,,None,Others,,12.1×21.7×7.2,is_a,,,
FJ2913.obj,FJ2913,Left posterior segmental artery,,FMA8635,Vessel,Other,,None,Others,,17.1×20.8×6.3,part_of,,,
FJ2913.obj,FJ2913,Left posterior segmental artery,,FMA8635,Vessel,Other,,None,Others,,17.1×20.8×6.3,is_a,,,
FJ2914.obj,FJ2914,Left posterior basal segmental artery,,FMA8647,Vessel,Other,,None,Others,,10×6.8×14.3,part_of,,,
FJ2914.obj,FJ2914,Left posterior basal segmental artery,,FMA8647,Vessel,Other,,None,Others,,10×6.8×14.3,is_a,,,
