OBJ File,OBJ ID,English Name,Japanese Name,FMA ID,Category,Region,Headache Importance,Headache Type,Recommended Blender Collection,Description,BBox(mm),Buildup,Mirror,Vertices,Faces
FJ2674.obj,FJ2674,Marginal branch of right coronary artery,,FMA3818,Vessel,Other,,None,Others,,11.7×3.1×12.4,part_of,,,
FJ2674.obj,FJ2674,Marginal branch of right coronary artery,,FMA3818,Vessel,Other,,None,Others,,11.7×3.1×12.4,is_a,,,
FJ2675.obj,FJ2675,Marginal branch of right coronary artery,,FMA3818,Vessel,Other,,None,Others,,6.3×2.3×9.4,part_of,,,
FJ2675.obj,FJ2675,Marginal branch of right coronary artery,,FMA3818,Vessel,Other,,None,Others,,6.3×2.3×9.4,is_a,,,
FJ2676.obj,FJ2676,Right conus artery,,FMA3807,Vessel,Other,,None,Others,,14.3×2.3×4.2,part_of,,,
FJ2676.obj,FJ2676,Right conus artery,,FMA3807,Vessel,Other,,None,Others,,14.3×2.3×4.2,is_a,,,
FJ2677.obj,FJ2677,First anterior ventricular branch of right coronary artery,,FMA3815,Vessel,Other,,None,Others,,13.2×2.2×4.6,part_of,,,
FJ2677.obj,FJ2677,First anterior ventricular branch of right coronary artery,,FMA3815,Vessel,Other,,None,Others,,13.2×2.2×4.6,is_a,,,
FJ2678.obj,FJ2678,Middle cardiac vein,,FMA4713,Vessel,Other,,None,Others,,69×45×30.8,part_of,,,
FJ2678.obj,FJ2678,Middle cardiac vein,,FMA4713,Vessel,Other,,None,Others,,69×45×30.8,is_a,,,
FJ2679.obj,FJ2679,Middle cardiac vein,,FMA4713,Vessel,Other,,None,Others,,5.3×9.6×1.7,part_of,,,
FJ2679.obj,FJ2679,Middle cardiac vein,,FMA4713,Vessel,Other,,None,Others,,5.3×9.6×1.7,is_a,,,
FJ2680.obj,FJ2680,Middle cardiac vein,,FMA4713,Vessel,Other,,None,Others,,14.8×9.5×2.7,part_of,,,
FJ2680.obj,FJ2680,Middle cardiac vein,,FMA4713,Vessel,Other,,None,Others,,14.8×9.5×2.7,is_a,,,
FJ2681.obj,FJ2681,Middle cardiac vein,,FMA4713,Vessel,Other,,None,Others,,4.5×10.8×5,part_of,,,
FJ2681.obj,FJ2681,Middle cardiac vein,,FMA4713,Vessel,Other,,None,Others,,4.5×10.8×5,is_a,,,
