Collection,OBJ ID,English Name,Japanese Name
BloodVessels,FJ1702M,Left posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1703M,Left posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1704M,Left posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1705M,Left posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1706M,Left posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1707M,Left posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1708M,Left posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1709M,Left posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1710M,Left posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1711M,Left posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1715M,Left posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1725M,Left vertebral artery,椎骨動脈
BloodVessels,FJ1693M,Middle temporal branch of left middle cerebral artery,中大脳動脈
BloodVessels,FJ1693,Middle temporal branch of right middle cerebral artery,中大脳動脈
BloodVessels,FJ1714M,Postcommunicating part of left posterior cerebral artery,後大脳動脈
BloodVessels,FJ1714,Postcommunicating part of right posterior cerebral artery,後大脳動脈
BloodVessels,FJ1717M,Posterior temporal branch of left middle cerebral artery,中大脳動脈
BloodVessels,FJ1717,Posterior temporal branch of right middle cerebral artery,中大脳動脈
BloodVessels,FJ1721M,Posteromedial central branch of left posterior cerebral artery,後大脳動脈
BloodVessels,FJ1721,Posteromedial central branch of right posterior cerebral artery,後大脳動脈
BloodVessels,FJ1723M,Precommunicating part of left posterior cerebral artery,後大脳動脈
BloodVessels,FJ1723,Precommunicating part of right posterior cerebral artery,後大脳動脈
BloodVessels,FJ1654,Right anterior cerebral artery,前大脳動脈
BloodVessels,FJ1682,Right internal carotid artery,内頚動脈
BloodVessels,FJ3585,Right internal jugular vein,内頚静脈
BloodVessels,FJ1700,Right posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1701,Right posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1702,Right posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1703,Right posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1704,Right posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1705,Right posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1706,Right posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1707,Right posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1708,Right posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1709,Right posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1710,Right posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1711,Right posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1715,Right posterior inferior cerebellar artery,後下小脳動脈(PICA)
BloodVessels,FJ1725,Right vertebral artery,椎骨動脈
BloodVessels,FJ1692M,Sphenoid part of left middle cerebral artery,中大脳動脈
BloodVessels,FJ1692,Sphenoid part of right middle cerebral artery,中大脳動脈
BloodVessels,FJ1729M,Temporo-occipital branch of left middle cerebral artery,中大脳動脈
BloodVessels,FJ1729,Temporo-occipital branch of right middle cerebral artery,中大脳動脈
BloodVessels,FJ1718M,Trunk of inferior terminal branch of left middle cerebral artery,中大脳動脈
BloodVessels,FJ1718,Trunk of inferior terminal branch of right middle cerebral artery,中大脳動脈
Brain,FJ1781,Cerebellum,小脳
Brain,FJ1830,Cerebellum,小脳
Brain,FJ1760,Hypothalamus,視床下部
Brain,FJ1808,Hypothalamus,視床下部
Brain,FJ1777,Left stria medullaris of thalamus,視床
Brain,FJ1782,Left thalamus,視床
Brain,FJ1769,Medulla oblongata,延髄
Brain,FJ1831,Medulla oblongata,延髄
Brain,FJ1770,Midbrain,中脳
Brain,FJ1817,Midbrain,中脳
Brain,FJ1774,Peduncle of midbrain,中脳
Brain,FJ1821,Peduncle of midbrain,中脳
Brain,FJ1796,Pituitary gland,下垂体
Brain,FJ1775,Pons,橋
Brain,FJ1822,Pons,橋
Brain,FJ1824,Right stria medullaris of thalamus,視床
Brain,FJ1827,Right thalamus,視床
Others,FJ3202,Intervertebral disk of axis,椎間板
Others,FJ3207,Intervertebral disk of eighth thoracic vertebra,椎間板
Others,FJ3210,Intervertebral disk of eleventh thoracic vertebra,椎間板
Others,FJ3219,Intervertebral disk of fifth cervical vertebra,椎間板
Others,FJ3217,Intervertebral disk of fifth lumbar vertebra,椎間板
Others,FJ3204,Intervertebral disk of fifth thoracic vertebra,椎間板
Others,FJ3212,Intervertebral disk of first lumbar vertebra,椎間板
Others,FJ3222,Intervertebral disk of first thoracic vertebra,椎間板
Others,FJ3218,Intervertebral disk of fourth cervical vertebra,椎間板
Others,FJ3216,Intervertebral disk of fourth lumbar vertebra,椎間板
Others,FJ3203,Intervertebral disk of fourth thoracic vertebra,椎間板
Others,FJ3208,Intervertebral disk of ninth thoracic vertebra,椎間板
Others,FJ3214,Intervertebral disk of second lumbar vertebra,椎間板
Others,FJ3223,Intervertebral disk of second thoracic vertebra,椎間板
Others,FJ3221,Intervertebral disk of seventh cervical vertebra,椎間板
Others,FJ3206,Intervertebral disk of seventh thoracic vertebra,椎間板
Others,FJ3220,Intervertebral disk of sixth cervical vertebra,椎間板
Others,FJ3205,Intervertebral disk of sixth thoracic vertebra,椎間板
Others,FJ3209,Intervertebral disk of tenth thoracic vertebra,椎間板
Others,FJ3213,Intervertebral disk of third cervical vertebra,椎間板
Others,FJ3215,Intervertebral disk of third lumbar vertebra,椎間板
Others,FJ3224,Intervertebral disk of third thoracic vertebra,椎間板
